Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan,Cluster_Hierarchical,NOC_2021,NOC_Title_2021,TEER_Level_Name,Broad_Category_Name,PCA1,PCA2,Cluster_Label_Hierarchical,Avg_Wage,Min_Wage,Max_Wage,Min_Wage_Province,Max_Wage_Province
59.37,59.37,64.62,48.72,59.37,75.27,66.86,63.63,55.9,65.93,4,11,senior government managers and officials,0 - Management occupations,0 - Legislative and senior management occupations,8.616905969094868,-0.37752561185954425,7 - Specialized / Outlier Roles,61.9,48.72,75.27,New Brunswick,Nova Scotia
88.94,98.56,92.31,92.31,78.67,79.49,92.31,92.31,87.18,84.62,4,12,"senior managers - financial, communications and other business services",0 - Management occupations,0 - Legislative and senior management occupations,16.2093330382996,0.32364913947175156,7 - Specialized / Outlier Roles,88.67,78.67,98.56,Newfoundland and Labrador,British Columbia
59.48,55.56,49.52,52.88,56.1,49.74,57.69,51.23,57.69,54.98,3,10010,financial managers,0 - Management occupations,"1 - Business, finance and administration occupations",6.5041253066553235,0.1777198446178064,6 - Very High Wage,54.49,49.52,59.48,Manitoba,Alberta
56.25,56.5,53.33,51.0,48.08,48.72,56.41,50.0,57.69,56.25,3,10011,human resources managers,0 - Management occupations,"1 - Business, finance and administration occupations",6.2028788362541345,0.2612893225575763,6 - Very High Wage,53.42,48.08,57.69,Newfoundland and Labrador,Quebec
54.63,57.69,55.9,55.9,55.9,55.9,55.9,55.9,57.69,55.9,3,10012,purchasing managers,0 - Management occupations,"1 - Business, finance and administration occupations",6.988029001215173,-0.32168400148101883,6 - Very High Wage,56.13,54.63,57.69,Alberta,British Columbia
49.04,49.04,49.04,43.27,49.04,43.27,47.76,49.04,48.08,49.04,3,10019,other administrative services managers,0 - Management occupations,"1 - Business, finance and administration occupations",4.574787036175184,0.08931945713085027,6 - Very High Wage,47.66,43.27,49.04,New Brunswick,Alberta
52.88,51.28,52.69,56.25,56.25,49.23,56.41,56.25,57.69,57.69,3,10020,"insurance, real estate and financial brokerage managers",0 - Management occupations,"1 - Business, finance and administration occupations",6.5657283160483155,-0.534262859628841,6 - Very High Wage,54.66,49.23,57.69,Nova Scotia,Quebec
52.4,52.88,44.44,44.1,43.59,47.12,58.97,56.41,54.0,50.48,3,10021,"banking, credit and other investment managers",0 - Management occupations,"1 - Business, finance and administration occupations",5.3516171754604205,0.1625371147285855,6 - Very High Wage,50.44,43.59,58.97,Newfoundland and Labrador,Ontario
54.03,52.0,53.33,53.33,53.33,53.33,55.38,53.33,51.44,52.88,3,10022,"advertising, marketing and public relations managers",0 - Management occupations,"1 - Business, finance and administration occupations",6.159551749749213,-0.2975610447327128,6 - Very High Wage,53.24,51.44,55.38,Quebec,Ontario
53.0,52.31,51.25,51.25,51.25,46.15,52.4,48.08,50.0,51.25,3,10029,other business services managers,0 - Management occupations,"1 - Business, finance and administration occupations",5.4337323419878745,0.08210334060225837,6 - Very High Wage,50.69,46.15,53.0,Nova Scotia,Alberta
