NOC_2016,ER_Code,Low_Wage_2016,Median_Wage_2016,High_Wage_2016,Low_Wage_2020,Median_Wage_2020,High_Wage_2020,Province,NOC_Title_2016
0012,ER00,19.78,45.45,79.33,27.47,53.85,90.66,National,senior government managers and officials
0012,ER1110,15.0,32.42,67.03,15.0,43.59,84.62,Prince Edward Island,senior government managers and officials
0012,ER12,15.0,32.42,67.03,15.0,43.59,84.62,Nova Scotia,senior government managers and officials
0012,ER13,15.0,32.42,67.03,15.0,43.59,84.62,New Brunswick,senior government managers and officials
0012,ER24,23.0,50.0,85.47,27.47,42.31,72.77,Quebec,senior government managers and officials
0012,ER2435,23.0,50.0,85.47,27.47,42.31,72.77,Quebec,senior government managers and officials
0012,ER35,25.96,50.48,84.62,28.0,55.0,93.41,Ontario,senior government managers and officials
0012,ER3530,25.96,50.48,84.62,28.0,55.0,93.41,Ontario,senior government managers and officials
0012,ER46,25.64,48.08,69.23,21.95,47.28,62.32,Manitoba,senior government managers and officials
0012,ER47,16.0,37.45,60.1,17.54,38.46,81.25,Saskatchewan,senior government managers and officials
0013,ER00,21.33,46.15,75.9,28.41,57.69,92.31,National,"senior managers - financial, communications and other business services"
0013,ER10,23.73,48.08,74.52,19.85,42.95,76.92,Newfoundland and Labrador,"senior managers - financial, communications and other business services"
0013,ER12,25.96,48.08,71.79,19.63,41.18,79.49,Nova Scotia,"senior managers - financial, communications and other business services"
0013,ER1250,25.96,48.08,71.79,19.85,40.87,72.12,Nova Scotia,"senior managers - financial, communications and other business services"
0013,ER24,21.33,44.62,76.92,25.64,42.75,96.15,Quebec,"senior managers - financial, communications and other business services"
0013,ER2435,20.0,50.0,64.9,25.64,42.75,96.15,Quebec,"senior managers - financial, communications and other business services"
0013,ER2460,21.33,44.62,76.92,25.64,42.75,96.15,Quebec,"senior managers - financial, communications and other business services"
0013,ER35,19.23,49.04,76.92,28.5,57.69,88.94,Ontario,"senior managers - financial, communications and other business services"
0013,ER3510,19.23,49.04,76.92,33.65,61.54,97.44,Ontario,"senior managers - financial, communications and other business services"
0013,ER3530,20.63,47.18,76.92,29.58,58.97,88.94,Ontario,"senior managers - financial, communications and other business services"
0013,ER3550,19.23,49.04,76.92,28.5,57.69,88.94,Ontario,"senior managers - financial, communications and other business services"
0013,ER47,29.62,52.31,72.12,32.0,57.44,86.05,Saskatchewan,"senior managers - financial, communications and other business services"
0013,ER4710,29.62,52.31,72.12,32.0,53.78,62.5,Saskatchewan,"senior managers - financial, communications and other business services"
0013,ER48,17.31,46.15,83.33,30.0,68.4,97.44,Alberta,"senior managers - financial, communications and other business services"
0013,ER4830,17.31,46.15,83.33,30.0,68.4,97.44,Alberta,"senior managers - financial, communications and other business services"
0013,ER4860,21.830751,45.997847,103.69607,48.08,72.12,100.0,Alberta,"senior managers - financial, communications and other business services"
0013,ER59,18.0,48.6,74.52,31.25,64.1,96.15,British Columbia,"senior managers - financial, communications and other business services"
0013,ER5910,20.0,42.195854,90.961463,31.25,64.1,96.15,British Columbia,"senior managers - financial, communications and other business services"
0013,ER5920,23.08,48.08,72.12,30.0,64.1,96.15,British Columbia,"senior managers - financial, communications and other business services"
0015,ER24,16.78,31.096165,73.908119,19.25,36.06,82.96,Quebec,"senior managers - trade, broadcasting and other services, n.e.c."
