ER_Code,NOC_2016,NOC_2021,Low_Wage_2016,Median_Wage_2016,High_Wage_2016,Low_Wage_2020,Median_Wage_2020,High_Wage_2020,Low_Wage_2024,Median_Wage_2024,High_Wage_2024,Province,Region,NOC_Title_2021,Broad_Category_Code,TEER_Code,Major_Group_Code,Broad_Category_Name,TEER_Level_Name,Major_Group_Name
ER00,0012,00011,19.78,45.45,79.33,27.47,53.85,90.66,36.41,59.37,94.02,National,Canada,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER1110,0012,00011,15.0,32.42,67.03,15.0,43.59,84.62,46.5,63.63,106.04,Prince Edward Island,Prince Edward Island,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER12,0012,00011,15.0,32.42,67.03,15.0,43.59,84.62,37.02,75.27,110.12,Nova Scotia,Nova Scotia,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER13,0012,00011,15.0,32.42,67.03,15.0,43.59,84.62,36.41,48.72,80.0,New Brunswick,New Brunswick,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER24,0012,00011,23.0,50.0,85.47,27.47,42.31,72.77,43.36,55.9,82.42,Quebec,Quebec,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER35,0012,00011,25.96,50.48,84.62,28.0,55.0,93.41,35.5,66.86,96.92,Ontario,Ontario,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER3530,0012,00011,25.96,50.48,84.62,28.0,55.0,93.41,57.0,59.37,78.33,Ontario,Toronto,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER46,0012,00011,25.64,48.08,69.23,21.95,47.28,62.32,25.0,64.62,71.43,Manitoba,Manitoba,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER47,0012,00011,16.0,37.45,60.1,17.54,38.46,81.25,42.07,65.93,112.98,Saskatchewan,Saskatchewan,senior government managers and officials,0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER00,0013,00012,21.33,46.15,75.9,28.41,57.69,92.31,48.08,92.31,144.23,National,Canada,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER10,0013,00012,23.73,48.08,74.52,19.85,42.95,76.92,48.08,78.67,125.0,Newfoundland and Labrador,Newfoundland and Labrador,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER12,0013,00012,25.96,48.08,71.79,19.63,41.18,79.49,48.08,79.49,108.16,Nova Scotia,Nova Scotia,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER1250,0013,00012,25.96,48.08,71.79,19.85,40.87,72.12,48.08,79.49,112.18,Nova Scotia,Halifax,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER24,0013,00012,21.33,44.62,76.92,25.64,42.75,96.15,43.27,87.18,137.36,Quebec,Quebec,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER2435,0013,00012,20.0,50.0,64.9,25.64,42.75,96.15,48.08,91.35,144.23,Quebec,Montérégie,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER35,0013,00012,19.23,49.04,76.92,28.5,57.69,88.94,50.0,92.31,150.0,Ontario,Ontario,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER3510,0013,00012,19.23,49.04,76.92,33.65,61.54,97.44,57.14,96.15,153.85,Ontario,Ottawa,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER3530,0013,00012,20.63,47.18,76.92,29.58,58.97,88.94,51.92,93.75,144.23,Ontario,Toronto,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER3550,0013,00012,19.23,49.04,76.92,28.5,57.69,88.94,53.85,87.98,153.85,Ontario,Hamilton--Niagara Peninsula,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER47,0013,00012,29.62,52.31,72.12,32.0,57.44,86.05,53.09,84.62,120.19,Saskatchewan,Saskatchewan,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
