ER_Code,NOC_2016,NOC_2021,Low_Wage_2016,Median_Wage_2016,High_Wage_2016,Low_Wage_2020,Median_Wage_2020,High_Wage_2020,Low_Wage_2024,Median_Wage_2024,High_Wage_2024,Province,Region,NOC_Title_2021,Broad_Category_Code,TEER_Code,Major_Group_Code,Broad_Category_Name,TEER_Level_Name,Major_Group_Name
ER00,12,11,19.78,45.45,79.33,27.47,53.85,90.66,36.41,59.37,94.02,National,Canada,senior government managers and officials,0,0,0,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER00,13,12,21.33,46.15,75.9,28.41,57.69,92.31,48.08,92.31,144.23,National,Canada,"senior managers - financial, communications and other business services",0,0,0,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER00,111,10010,21.15,40.87,64.29,26.54,48.08,71.43,36.06,57.44,89.56,National,Canada,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,112,10011,22.0,40.0,62.5,25.71,47.69,70.64,36.06,56.25,84.43,National,Canada,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,113,10012,21.63,40.11,57.69,20.59,48.08,76.92,38.46,55.9,85.71,National,Canada,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,114,10019,20.09,38.46,54.95,22.0,38.46,63.77,27.16,49.04,83.07,National,Canada,other administrative services managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,121,10020,20.6,46.67,71.79,28.85,48.35,75.32,36.06,56.25,92.31,National,Canada,"insurance, real estate and financial brokerage managers",1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,122,10021,22.1,42.05,64.1,28.21,44.31,67.03,35.9,56.41,86.54,National,Canada,"banking, credit and other investment managers",1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,124,10022,21.54,38.46,62.73,24.04,41.15,67.31,30.77,53.33,90.0,National,Canada,"advertising, marketing and public relations managers",1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,125,10029,20.0,36.15,55.29,21.67,36.15,65.64,29.81,51.25,81.73,National,Canada,other business services managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,131,10030,24.0,40.6,60.1,25.0,43.27,72.12,31.25,49.74,70.46,National,Canada,telecommunication carriers managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,211,20010,25.33,48.08,74.52,30.77,52.31,76.92,41.21,66.5,105.0,National,Canada,engineering managers,2,0,20,2 - Natural and applied sciences and related occupations,0 - Management occupations,"Mid-management: engineering, IT, sciences"
ER00,212,20011,22.5,43.27,66.67,28.85,49.04,76.92,36.06,56.41,94.71,National,Canada,architecture and science managers,2,0,20,2 - Natural and applied sciences and related occupations,0 - Management occupations,"Mid-management: engineering, IT, sciences"
ER00,213,20012,24.52,46.15,67.31,32.97,51.28,72.12,42.41,63.31,96.63,National,Canada,computer and information systems managers,2,0,20,2 - Natural and applied sciences and related occupations,0 - Management occupations,"Mid-management: engineering, IT, sciences"
ER00,311,30010,23.0,43.0,60.05,23.82,45.05,64.1,28.85,52.5,75.0,National,Canada,managers in health care,3,0,30,3 - Health occupations,0 - Management occupations,Mid-management in healthcare
ER00,411,40010,33.52,50.26,63.59,33.0,56.41,66.69,43.27,58.97,75.9,National,Canada,government managers - health and social policy development and program administration,4,0,40,"4 - Education, law, social and community services",0 - Management occupations,Managers: education/social/public services
ER00,412,40011,32.0,50.55,68.72,31.19,51.79,68.13,46.15,63.4,81.54,National,Canada,"government managers - economic analysis, policy development and program administration",4,0,40,"4 - Education, law, social and community services",0 - Management occupations,Managers: education/social/public services
ER00,414,40019,26.92,49.0,63.74,34.48,53.0,70.77,39.49,58.46,77.27,National,Canada,other managers in public administration,4,0,40,"4 - Education, law, social and community services",0 - Management occupations,Managers: education/social/public services
ER00,421,40020,23.08,45.33,72.12,28.85,50.55,75.27,36.0,55.29,84.62,National,Canada,administrators - post-secondary education and vocational training,4,0,40,"4 - Education, law, social and community services",0 - Management occupations,Managers: education/social/public services
ER00,422,40021,26.44,45.67,57.69,31.19,48.9,63.19,35.0,52.99,69.71,National,Canada,school principals and administrators of elementary and secondary education,4,0,40,"4 - Education, law, social and community services",0 - Management occupations,Managers: education/social/public services
ER00,423,40030,19.0,32.82,52.56,21.68,35.71,57.44,25.0,41.75,67.31,National,Canada,"managers in social, community and correctional services",4,0,40,"4 - Education, law, social and community services",0 - Management occupations,Managers: education/social/public services
ER00,431,40040,32.94,53.33,72.12,29.92,60.1,80.77,47.9,68.75,91.0,National,Canada,commissioned police officers and related occupations in public protection services,4,0,40,"4 - Education, law, social and community services",0 - Management occupations,Managers: education/social/public services
ER00,511,50010,16.0,31.18,68.57,28.57,40.87,59.62,25.0,38.46,64.1,National,Canada,"library, archive, museum and art gallery managers",5,0,50,"5 - Art, culture, recreation and sport",0 - Management occupations,Mid-management in culture/sport
ER00,512,50011,18.0,31.19,65.93,17.0,33.33,64.9,21.25,36.86,59.82,National,Canada,"managers - publishing, motion pictures, broadcasting and performing arts",5,0,50,"5 - Art, culture, recreation and sport",0 - Management occupations,Mid-management in culture/sport
